"ID Req","Descripción del requerimiento","Artefacto que lo implementa","Caso de prueba asociado","Evidencia documental"
"RF-AUTH-001","Registro de usuario con email y contraseña","POST /register, GET /register","AUTH-REG-002 – Registro exitoso con datos válidos (AUTH-REG-001…012)","PR: 59, 89, 119, 123"
"RF-AUTH-002","Validación de email en el registro (formato, requerido, único)","POST /register","AUTH-REG-004 – Registro falla sin email (AUTH-REG-004, 007, 009)","PR: 59, 123"
"RF-AUTH-003","Validación de contraseña (requerida, fortaleza, confirmación)","POST /register","AUTH-REG-005 – Registro falla sin contraseña (AUTH-REG-005, 008)","PR: 59, 123"
"RF-AUTH-004","Usuario autenticado no puede acceder a páginas de invitado","Middleware guest en /login, /register","AUTH-LOG-009 – Usuario autenticado no puede acceder a login (AUTH-REG-011, 012)","Base del proyecto"
"RF-AUTH-005","Manejo de errores del servicio de autenticación","POST /register, GET /auth/google/callback","AUTH-REG-010 – Registro falla por error de servicio (AUTH-OAUTH-007)","PR: 72"
"RF-AUTH-006","Inicio de sesión con email y contraseña","GET /login, POST /login","AUTH-LOG-002 – Inicio de sesión exitoso (AUTH-LOG-001…006, 011)","PR: 59, 89, 119"
"RF-AUTH-007","Desafío de 2FA durante el inicio de sesión","GET/POST /two-factor-challenge","AUTH-2FA-005 – Desafío de login con código (AUTH-LOG-007, AUTH-OAUTH-005, AUTH-2FA-005…007)","PR: 2"
"RF-AUTH-008","Límite de intentos (rate limiting) en autenticación","Limitadores en FortifyServiceProvider (/login, /register, OAuth)","AUTH-LOG-008 – Bloqueo por límite de intentos (AUTH-OAUTH-008)","PR: 45"
"RF-AUTH-009","Cierre de sesión","POST /logout","AUTH-LOG-010 – Cerrar sesión (AUTH-VER-006)","Base del proyecto"
"RF-AUTH-010","Autenticación con Google (OAuth)","GET /auth/google/redirect, GET /auth/google/callback","AUTH-OAUTH-003 – Registro exitoso con Google (AUTH-OAUTH-001…004, 009)","PR: 2"
"RF-AUTH-011","OAuth con invitación de equipo","GET /auth/google/callback + /teams/invite/{token}","AUTH-OAUTH-006 – Google OAuth con invitación de equipo","PR: 106"
